avg_size,len,bytes,long_enough,arm_chosen,delta_bmr,stored,type_idx
17425.6,1046,18227200,0,0,0,0,2
47954.8,1023,49057792,0,0,0,0,2
51501.9,1031,53098496,0,0,0,0,2
50654.9,1035,52427776,0,0,0,0,2
13441.9,1005,13509120,0,0,0,0,2
11474.7,1040,11933696,0,0,0,0,2
10470,1024,10721280,0,0,0,0,9
10692.6,1043,11152384,0,0,0,0,9
7807.9,1273,9939456,0,0,0,0,9
9516.2,1083,10306048,0,0,0,0,9
11476.8,1061,12176896,0,0,0,0,9
13961.6,1005,14031360,0,0,0,0,9
17999.5,1185,21329408,0,0,0,0,9
7523.03,1034,7778816,0,0,0,0,9
26044,1002,26096128,0,0,0,0,9
48044.5,1048,50350592,0,0,0,0,9
17203.8,1028,17685504,0,0,0,0,9
12015,1174,14105600,0,0,0,0,9
10030.1,1493,14974976,0,0,0,0,9
11302.5,1397,15789568,0,0,0,0,9
8746.21,1031,9017344,0,0,0,0,9
10300.8,1247,12845056,0,0,0,0,9
13873.5,1065,14775296,0,0,0,0,9
7770.66,1073,8337920,0,0,0,0,9
10147.9,1028,10432000,0,0,0,0,9
10463.7,1007,10536960,0,0,0,0,9
10438.8,1038,10835456,0,0,0,0,9
10415.9,1016,10582528,0,0,0,0,9
12724.8,1069,13602816,0,0,0,0,0
19777.2,1001,19796992,0,0,0,0,0
12307.2,532,6547456,0,0,0,0,0
13623.6,1004,13678080,0,0,0,0,8
14500.6,1011,14660096,0,0,0,0,8
16373.4,337,5517824,0,0,0,0,8
14679,1042,15295488,0,0,0,0,8
17039.2,329,5605888,0,0,0,0,8
12073.5,1105,13341184,0,0,0,0,8
12687.5,1019,12928512,0,0,0,0,8
15573.8,1111,17302528,0,0,0,0,8
11586,1008,11678720,0,0,0,0,8
14803.2,1039,15380480,0,0,0,0,8
69220.8,1072,74204672,0,0,0,0,8
21920.2,1005,22029824,0,0,0,0,8
12457.5,1326,16518656,0,0,0,0,8
9176.53,1401,12856320,0,0,0,0,8
12788.9,1292,16523264,0,0,0,0,8
15069.4,1126,16968192,0,0,0,0,8
6949.88,1176,8173056,0,0,0,0,8
13324.4,1029,13710848,0,0,0,0,8
6649.26,1139,7573504,0,0,0,0,8
55375.3,1001,55430656,0,0,0,0,8
9690.23,1071,10378240,0,0,0,0,8
11964.3,1300,15553536,0,0,0,0,8
8231.58,1617,13310464,0,0,0,0,8
22196.2,1023,22706688,0,0,0,0,8
21382.5,1020,21810176,0,0,0,0,8
14833.4,1364,20232704,0,0,0,0,8
11235.9,1222,13730304,0,0,0,0,8
17610.5,718,12644352,0,0,0,0,8
8635.46,747,6450688,0,0,0,0,8
18919,1023,19354112,0,0,0,0,8
104710,1001,104814592,0,0,0,0,8
84007.7,1019,85603840,0,0,0,0,8
68847.1,1002,68984832,0,0,0,0,8
73527.5,1014,74556928,0,0,0,0,8
51052.9,1636,83522560,0,0,0,0,8
32188.1,1003,32284672,0,0,0,0,8
18422.3,1004,18496000,0,0,0,0,8
