write_ratio,avg_request_size,size_variance,singleton_ratio,popularity_skewness,avg_frequency,object_diversity,avg_reuse_distance,sequentiality_ratio,out_cache_hit_rate,request_rate,burstiness_index,arrival_time_variance,working_set_byte_delta,scan_ratio
0,12874,4.63194e+09,0.964783,0.781257,1.02618,0.974487,9902.86,0.793335,0.00384521,0.648383,4.33764,44.7552,1.94344e+08,0.960327
0,12851.8,4.62868e+09,0.964905,0.77074,1.02599,0.97467,9931.32,0.797546,0.00378418,0.664562,4.32583,42.3709,1.93919e+08,0.960388
0,12691.6,4.46523e+09,0.971558,0.4588,1.01948,0.980896,11220,0.806702,0.00280762,0.848391,4.49516,28.0735,1.90952e+08,0.965942
0,12754.9,4.4895e+09,0.972412,0.44528,1.01891,0.981445,11459.1,0.81189,0.00286865,0.863882,4.49516,27.0758,1.91111e+08,0.966309
0,11284,3.00137e+09,0.97876,0.257235,1.01292,0.987244,13360.4,0.822632,0.00292969,0.821006,4.53359,30.4925,1.69618e+08,0.971069
0,11199.2,3.00387e+09,0.979797,0.262787,1.01248,0.987671,13989.2,0.820007,0.00280762,0.83453,4.51398,29.2573,1.68864e+08,0.971252
0,11152,2.99926e+09,0.979309,0.260331,1.0128,0.987366,14261.4,0.818176,0.00311279,0.865799,4.55302,27.6545,1.68195e+08,0.97052
0,11298.4,3.04693e+09,0.979614,0.259722,1.01261,0.987549,22327.3,0.826538,0.00305176,0.862441,4.51398,27.3943,1.71488e+08,0.970337
0,11375.7,3.03632e+09,0.969421,0.519473,1.02196,0.978516,19986.3,0.811096,0.00366211,0.996032,4.00432,16.1626,1.73021e+08,0.960999
0,11561,3.50098e+09,0.968262,0.51616,1.02253,0.977966,20328.7,0.811157,0.00396729,0.992151,3.99568,16.2191,1.78373e+08,0.960266
0,11698.4,3.54623e+09,0.966858,0.521855,1.0233,0.977234,20116.3,0.813477,0.00402832,0.988108,3.98701,16.2811,1.77126e+08,0.95929
0,9962,1.99095e+09,0.970764,0.421813,1.01973,0.980652,20859.5,0.820862,0.00305176,1.69948,3.10142,3.33035,1.47464e+08,0.963135
0,9901.97,1.99345e+09,0.972717,0.419178,1.01853,0.981812,21479.5,0.827148,0.00299072,1.6613,3.10142,3.48518,1.47033e+08,0.964539
0,9763,1.98649e+09,0.972656,0.417182,1.01859,0.98175,21601.8,0.826233,0.00335693,1.59832,3.10781,3.78077,1.45829e+08,0.964355
0,9680.84,1.97445e+09,0.972961,0.416778,1.0184,0.981934,21453.4,0.828613,0.003479,1.54104,3.10781,4.06707,1.45442e+08,0.964478
0,9964.59,2.28271e+09,0.958252,0.782648,1.03187,0.969116,18773.9,0.815125,0.00482178,1.37513,2.38917,3.01859,1.44636e+08,0.951477
0,11263.4,2.67231e+09,0.944885,0.89938,1.04039,0.961182,17499.7,0.810303,0.00524902,1.38121,2.35317,2.90258,1.51269e+08,0.94342
0,12350.9,2.90105e+09,0.935974,0.943363,1.04563,0.95636,17289,0.815674,0.00628662,1.39859,2.39445,2.93111,1.56237e+08,0.938721
0,13747.7,3.56404e+09,0.926392,0.975448,1.05167,0.950867,16422.6,0.81311,0.0106812,1.40318,2.42351,2.98305,1.63577e+08,0.933044
0,14878.2,3.79686e+09,0.91394,1.01296,1.05929,0.944031,15725,0.817688,0.0174561,1.39488,2.44778,3.07945,1.67854e+08,0.92627
0,15633.9,3.95639e+09,0.894775,1.04304,1.07071,0.93396,14084.1,0.820312,0.0278931,1.3823,2.46638,3.18356,1.69949e+08,0.916138
0,17050.3,4.55575e+09,0.876038,1.12568,1.08763,0.919434,12757.2,0.820923,0.0418091,1.40456,2.50106,3.17078,1.75978e+08,0.901184
0,21242.9,6.89157e+09,0.822327,1.50868,1.13502,0.881042,9185.35,0.806213,0.0678711,1.41496,2.3723,2.81092,2.06276e+08,0.862854
0,24819,7.68072e+09,0.798889,1.64368,1.16174,0.860779,8551.67,0.802002,0.0807495,1.42073,2.40036,2.8545,2.1374e+08,0.84375
0,25969,7.49853e+09,0.746948,1.49712,1.21022,0.826294,8098.27,0.808411,0.113586,1.73946,1.44253,0.687731,2.05713e+08,0.8078
0,36452.3,1.57562e+10,0.696472,1.65056,1.27701,0.783081,7049.4,0.800415,0.140076,1.71434,1.45706,0.722365,3.39611e+08,0.765137
0,37277.7,1.58831e+10,0.668762,1.73227,1.31853,0.758423,6578.92,0.793091,0.163025,1.64851,1.45962,0.783971,3.40175e+08,0.740234
0,37740.9,1.59927e+10,0.645935,1.76201,1.34704,0.742371,6517.13,0.784912,0.177979,1.57622,1.45877,0.856532,3.40313e+08,0.72406
0,38063.6,1.61938e+10,0.633179,1.90546,1.36784,0.731079,6408.75,0.778198,0.179688,1.51697,1.45877,0.924746,3.40578e+08,0.712952
0,38366.4,1.62565e+10,0.624817,1.93176,1.3818,0.723694,6330.62,0.772827,0.183655,1.4486,1.45792,1.0129,3.41148e+08,0.705444
0,35247.4,1.53998e+10,0.66449,1.4305,1.32289,0.75592,5717.97,0.788452,0.179138,1.91172,0.920585,0.231887,3.31589e+08,0.731689
0,33728.3,1.47811e+10,0.691589,1.35078,1.29079,0.774719,5921.56,0.790344,0.174561,1.78604,0.92435,0.26785,3.31059e+08,0.737793
0,32619.2,1.45973e+10,0.713989,1.33356,1.26118,0.792908,6009.8,0.783691,0.164856,1.67502,0.922891,0.303572,3.30612e+08,0.7453
0,31841.2,1.46357e+10,0.727417,1.26772,1.24404,0.803833,6153.43,0.78125,0.156738,1.56862,0.919627,0.343705,3.32774e+08,0.752563
0,28809.8,1.29507e+10,0.772156,0.963941,1.1875,0.842102,6010.51,0.793091,0.13031,2.06343,1.04425,0.256109,3.09665e+08,0.78717
0,22976.1,1.11688e+10,0.816589,0.721601,1.13762,0.879028,6287.61,0.801575,0.105408,2.47812,0.113188,0.00208622,2.90129e+08,0.824524
0,21261.1,1.08522e+10,0.880188,0.539251,1.0738,0.931274,5132.27,0.807922,0.0730591,2.36626,0,0,2.89859e+08,0.868164
0,10843.3,2.29358e+09,0.961914,0.434593,1.02362,0.976929,6664.39,0.814819,0.0446777,2.23081,0,0,1.58007e+08,0.91333
0,10097.1,2.13205e+09,0.978333,0.420174,1.01518,0.985046,8361.61,0.820374,0.0202026,2.07849,0,0,1.54197e+08,0.938477
0,9741.06,1.96035e+09,0.966492,0.433011,1.02138,0.979065,8818.7,0.823853,0.0139771,1.95806,0,0,1.47336e+08,0.944641
0,9534.69,1.91498e+09,0.957825,0.288735,1.02419,0.976379,9852.9,0.826721,0.0141602,1.84548,0,0,1.42276e+08,0.956421
0,9414.06,1.86983e+09,0.943359,0.409856,1.03336,0.967712,8908.22,0.821411,0.0169067,1.75205,0,0,1.40058e+08,0.949036
0,9486.16,1.88406e+09,0.941956,0.417351,1.0348,0.96637,8963.55,0.819092,0.0170288,1.66215,0,0,1.40648e+08,0.948059
0,9387.94,1.86043e+09,0.937195,0.434301,1.03979,0.961731,8629.24,0.814636,0.0172119,1.58481,0,0,1.39789e+08,0.94342
0,9437.91,1.86653e+09,0.929993,0.459727,1.0475,0.954651,8788.15,0.810059,0.0175781,1.5219,0,0,1.39494e+08,0.936218
0,9670.34,1.9077e+09,0.916382,0.531271,1.0584,0.944824,8339.25,0.809875,0.0198975,1.47148,0,0,1.40517e+08,0.926575
0,9793.75,1.93967e+09,0.914246,0.443541,1.05853,0.944702,8279.34,0.814453,0.020813,1.42309,0,0,1.4013e+08,0.927002
0,9300.91,1.60154e+09,0.910034,0.471604,1.0639,0.939941,8355.37,0.809875,0.020752,1.37988,0,0,1.34072e+08,0.922546
0,9320.59,1.58984e+09,0.901611,0.52123,1.07345,0.93158,7946.47,0.807861,0.0209961,1.34315,0,0,1.32887e+08,0.914612
0,9280.69,1.58003e+09,0.895752,0.537278,1.08017,0.925781,7681.38,0.80896,0.0212402,1.30833,0,0,1.30906e+08,0.908752
0,9348.28,1.58622e+09,0.887146,0.53097,1.08388,0.922607,7257,0.806335,0.0239258,1.27297,0,0,1.31296e+08,0.901611
0,9431.97,1.61061e+09,0.888245,0.590475,1.08174,0.924438,7084.33,0.805603,0.024231,1.24514,0,0,1.32442e+08,0.899292
0,9269.44,1.56905e+09,0.886597,0.597034,1.08367,0.922791,6912.56,0.805969,0.0234375,1.21668,0,0,1.30775e+08,0.893433
0,9356.81,1.58644e+09,0.881165,0.623045,1.09023,0.917236,6805,0.805542,0.0205688,1.19312,0,0,1.30309e+08,0.888733
0,9271.16,1.4466e+09,0.877502,0.638242,1.09467,0.913513,6817.18,0.804016,0.017395,1.17235,0,0,1.2834e+08,0.884827
0,9287.66,1.44375e+09,0.870483,0.659833,1.09607,0.912354,6812.91,0.803589,0.0123901,1.15464,0,0,1.28914e+08,0.884399
0,9465.56,1.4997e+09,0.871582,0.57279,1.09504,0.913208,6970.48,0.807129,0.0117188,1.13899,0,0,1.30765e+08,0.882507
0,9228.34,1.44054e+09,0.868408,0.581829,1.09893,0.909973,6893.31,0.804138,0.0114746,1.12531,0,0,1.27152e+08,0.879395
0,9397.5,1.47704e+09,0.864197,0.604147,1.10412,0.905701,6871.71,0.808411,0.0112915,1.11265,0,0,1.28691e+08,0.875549
0,9442.34,1.47792e+09,0.856323,0.688629,1.11319,0.898315,7552.52,0.808228,0.0119629,1.1019,0,0,1.2886e+08,0.869202
0,9306.78,1.445e+09,0.855347,0.618544,1.10845,0.902161,7259.36,0.805969,0.0101318,1.09145,0,0,1.27647e+08,0.873779
0,9430.84,1.4815e+09,0.857605,0.608631,1.10546,0.904602,7549.51,0.80249,0.00909424,1.08265,0,0,1.29549e+08,0.870728
0,9455.72,1.48512e+09,0.850708,0.758343,1.11357,0.89801,7263.25,0.798706,0.00921631,1.07357,0,0,1.29263e+08,0.864563
0,9364.22,1.46155e+09,0.84613,0.781714,1.1189,0.893738,7180.63,0.798706,0.0090332,1.06494,0,0,1.26818e+08,0.860413
0,9326.56,1.45441e+09,0.834045,0.797609,1.1283,0.886292,7183.49,0.800598,0.00872803,1.05763,0,0,1.26344e+08,0.853027
0,9381.62,1.46899e+09,0.841309,0.674902,1.11623,0.895874,7440.6,0.802307,0.00604248,1.05214,0,0,1.2696e+08,0.859314
0,9426.97,1.47372e+09,0.839233,0.68798,1.11882,0.893799,7436.32,0.799744,0.0057373,1.04705,0,0,1.28135e+08,0.855164
0,9465.28,1.47683e+09,0.834778,0.703623,1.12458,0.889221,7430.29,0.80072,0.00634766,1.04216,0,0,1.27052e+08,0.85083
0,9432.81,1.46017e+09,0.829651,0.727299,1.1311,0.884094,7400.17,0.797424,0.00665283,1.03764,0,0,1.2711e+08,0.845581
0,9377.03,1.44244e+09,0.828308,0.762988,1.13173,0.883606,7421.82,0.797058,0.00634766,1.03394,0,0,1.26495e+08,0.84491
0,9468.25,1.46593e+09,0.827759,0.695641,1.12682,0.887451,7577.19,0.797974,0.00628662,1.0304,0,0,1.27452e+08,0.844666
0,9533.41,1.47676e+09,0.828857,0.68908,1.12566,0.888367,7653.93,0.801086,0.00622559,1.02751,0,0,1.28416e+08,0.843689
0,9443.66,1.45995e+09,0.831665,0.685269,1.12258,0.890808,7722.89,0.80072,0.00634766,1.02465,0,0,1.27437e+08,0.846069
0,9453.78,1.45297e+09,0.825745,0.859966,1.12962,0.885254,7738.6,0.798035,0.00683594,1.02197,0,0,1.27747e+08,0.840393
0,9351.94,1.43395e+09,0.826904,0.777113,1.12861,0.886047,7109.27,0.797791,0.00665283,1.01987,0,0,1.26432e+08,0.840942
0,9272.91,1.41729e+09,0.82428,0.921995,1.13087,0.884277,6904.99,0.794617,0.00683594,1.01789,0,0,1.2571e+08,0.832703
0,9178.34,1.38705e+09,0.814392,0.92652,1.13762,0.879028,6695.93,0.796753,0.00708008,1.01612,0,0,1.23074e+08,0.827026
0,9191.72,1.39751e+09,0.824585,0.805634,1.12419,0.889526,7156.72,0.796936,0.00714111,1.01458,0,0,1.23414e+08,0.83728
0,9492.69,1.46678e+09,0.818909,0.809037,1.13048,0.884583,7734.62,0.799438,0.0078125,1.01319,0,0,1.27987e+08,0.832458
0,9653.75,1.47962e+09,0.775574,0.951422,1.18006,0.847412,7256.74,0.798828,0.0150757,1.01191,0,0,1.23771e+08,0.79541
0,9648.72,1.46486e+09,0.756104,1.20982,1.20232,0.831726,6952.57,0.771912,0.0184326,1.01077,0,0,1.22873e+08,0.779236
0,9543.25,1.43797e+09,0.75647,1.21863,1.2017,0.832153,6816.82,0.771057,0.019043,1.00966,0,0,1.22655e+08,0.775085
0,9508.97,1.43738e+09,0.758789,1.21955,1.19871,0.834229,6878.44,0.771484,0.0203857,1.00873,0,0,1.22472e+08,0.776978
0,9440.66,1.41876e+09,0.760132,1.22014,1.19819,0.834595,6842.37,0.773926,0.0217285,1.0078,0,0,1.22312e+08,0.7771
0,9427.25,1.42354e+09,0.757629,1.17693,1.19827,0.834534,6963.77,0.773254,0.024292,1.00698,0,0,1.2266e+08,0.776855
0,9420.84,1.42434e+09,0.761658,1.16495,1.19035,0.840088,7011.59,0.77124,0.0241699,1.00624,0,0,1.22818e+08,0.781677
0,9383.16,1.41571e+09,0.758057,1.16509,1.19504,0.836792,7008.23,0.770935,0.0240479,1.00549,0,0,1.2167e+08,0.771912
0,9267.88,1.38156e+09,0.756104,1.17262,1.19898,0.834045,7067.62,0.771545,0.0253296,1.00487,0,0,1.20197e+08,0.768494
0,9342.47,1.39763e+09,0.755615,1.06467,1.19968,0.833557,7176.72,0.771484,0.0263062,1.00427,0,0,1.21233e+08,0.768188
0,9287.47,1.38153e+09,0.751648,1.05757,1.20179,0.832092,7214.04,0.776855,0.0262451,1.00385,0,0,1.20238e+08,0.766846
0,9276.53,1.38027e+09,0.736389,1.38354,1.21354,0.824036,6862.42,0.766174,0.0292969,1.00353,0,0,1.19891e+08,0.758545
