result/tencentBlock.ns3944.csv                      TLCache-BMR cache size      432MiB, 1000001 req, miss ratio 0.9120, byte miss ratio 0.9705
result/tencentBlock.ns3944.csv                      TLCache-BMR cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                    TLCacheQL-BMR cache size      432MiB, 1000001 req, miss ratio 0.9131, byte miss ratio 0.9726
result/tencentBlock.ns3944.csv                    TLCacheQL-BMR cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                              LHD cache size      432MiB, 1000001 req, miss ratio 0.9189, byte miss ratio 0.9788
result/tencentBlock.ns3944.csv                              LHD cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                            LeCaR cache size      432MiB, 1000001 req, miss ratio 0.9221, byte miss ratio 0.9769
result/tencentBlock.ns3944.csv                            LeCaR cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                              ARC cache size      432MiB, 1000001 req, miss ratio 0.9169, byte miss ratio 0.9733
result/tencentBlock.ns3944.csv                              ARC cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                            Sieve cache size      432MiB, 1000001 req, miss ratio 0.9174, byte miss ratio 0.9739
result/tencentBlock.ns3944.csv                            Sieve cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                              LRU cache size      432MiB, 1000001 req, miss ratio 0.9238, byte miss ratio 0.9779
result/tencentBlock.ns3944.csv                              LRU cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                             GDSF cache size      432MiB, 1000001 req, miss ratio 0.9069, byte miss ratio 0.9755
result/tencentBlock.ns3944.csv                             GDSF cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                    TLCacheQL-BMR cache size      432MiB, 1000001 req, miss ratio 0.9131, byte miss ratio 0.9726
result/tencentBlock.ns3944.csv                    TLCacheQL-BMR cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                              LHD cache size      432MiB, 1000001 req, miss ratio 0.9189, byte miss ratio 0.9788
result/tencentBlock.ns3944.csv                              LHD cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                      TLCache-BMR cache size      432MiB, 1000001 req, miss ratio 0.9120, byte miss ratio 0.9705
result/tencentBlock.ns3944.csv                      TLCache-BMR cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                            Sieve cache size      432MiB, 1000001 req, miss ratio 0.9174, byte miss ratio 0.9739
result/tencentBlock.ns3944.csv                            Sieve cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                              ARC cache size      432MiB, 1000001 req, miss ratio 0.9169, byte miss ratio 0.9733
result/tencentBlock.ns3944.csv                              ARC cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                            LeCaR cache size      432MiB, 1000001 req, miss ratio 0.9222, byte miss ratio 0.9770
result/tencentBlock.ns3944.csv                            LeCaR cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                              LRU cache size      432MiB, 1000001 req, miss ratio 0.9238, byte miss ratio 0.9779
result/tencentBlock.ns3944.csv                              LRU cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                             GDSF cache size      432MiB, 1000001 req, miss ratio 0.9069, byte miss ratio 0.9755
result/tencentBlock.ns3944.csv                             GDSF cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                    TLCacheQL-BMR cache size      432MiB, 1000001 req, miss ratio 0.9131, byte miss ratio 0.9726
result/tencentBlock.ns3944.csv                    TLCacheQL-BMR cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                      TLCache-BMR cache size      432MiB, 1000001 req, miss ratio 0.9120, byte miss ratio 0.9705
result/tencentBlock.ns3944.csv                      TLCache-BMR cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                              LHD cache size      432MiB, 1000001 req, miss ratio 0.9189, byte miss ratio 0.9788
result/tencentBlock.ns3944.csv                              LHD cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                              LRU cache size      432MiB, 1000001 req, miss ratio 0.9238, byte miss ratio 0.9779
result/tencentBlock.ns3944.csv                              LRU cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                              ARC cache size      432MiB, 1000001 req, miss ratio 0.9169, byte miss ratio 0.9733
result/tencentBlock.ns3944.csv                              ARC cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                            Sieve cache size      432MiB, 1000001 req, miss ratio 0.9174, byte miss ratio 0.9739
result/tencentBlock.ns3944.csv                            Sieve cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                            LeCaR cache size      432MiB, 1000001 req, miss ratio 0.9222, byte miss ratio 0.9770
result/tencentBlock.ns3944.csv                            LeCaR cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                          LRB-BMR cache size      432MiB, 1000001 req, miss ratio 0.9238, byte miss ratio 0.9779
result/tencentBlock.ns3944.csv                          LRB-BMR cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                  S3FIFO-0.1000-2 cache size      432MiB, 1000001 req, miss ratio 0.9203, byte miss ratio 0.9758
result/tencentBlock.ns3944.csv                  S3FIFO-0.1000-2 cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                             GDSF cache size      432MiB, 1000001 req, miss ratio 0.9069, byte miss ratio 0.9755
result/tencentBlock.ns3944.csv                             GDSF cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                          Cacheus cache size      432MiB, 1000001 req, miss ratio 0.9167, byte miss ratio 0.9737
result/tencentBlock.ns3944.csv                          Cacheus cache size    43272MiB, 1000001 req, miss ratio 0.8454, byte miss ratio 0.9076
result/tencentBlock.ns3944.csv                      TLCache-BMR cache size      432MiB, 1000001 req, miss ratio 0.9120, byte miss ratio 0.9705
result/tencentBlock.ns3944.csv                      TLCache-BMR cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
result/tencentBlock.ns3944.csv                    TLCacheQL-BMR cache size      432MiB, 1000001 req, miss ratio 0.9131, byte miss ratio 0.9726
result/tencentBlock.ns3944.csv                    TLCacheQL-BMR cache size    43272MiB, 1000001 req, miss ratio 0.8453, byte miss ratio 0.9075
