result/tencentBlock.ns3879.csv                      TLCache-BMR cache size       70MiB, 1000001 req, miss ratio 0.6069, byte miss ratio 0.7511
result/tencentBlock.ns3879.csv                      TLCache-BMR cache size     7025MiB, 1000001 req, miss ratio 0.2430, byte miss ratio 0.2688
result/tencentBlock.ns3879.csv                    TLCacheQL-BMR cache size       70MiB, 1000001 req, miss ratio 0.6093, byte miss ratio 0.7588
result/tencentBlock.ns3879.csv                    TLCacheQL-BMR cache size     7025MiB, 1000001 req, miss ratio 0.2430, byte miss ratio 0.2688
result/tencentBlock.ns3879.csv                              LHD cache size       70MiB, 1000001 req, miss ratio 0.5832, byte miss ratio 0.8062
result/tencentBlock.ns3879.csv                              LHD cache size     7025MiB, 1000001 req, miss ratio 0.2430, byte miss ratio 0.2688
result/tencentBlock.ns3879.csv                              LRU cache size       70MiB, 1000001 req, miss ratio 0.6317, byte miss ratio 0.7876
result/tencentBlock.ns3879.csv                              LRU cache size     7025MiB, 1000001 req, miss ratio 0.2430, byte miss ratio 0.2688
result/tencentBlock.ns3879.csv                            Sieve cache size       70MiB, 1000001 req, miss ratio 0.6124, byte miss ratio 0.7607
result/tencentBlock.ns3879.csv                            Sieve cache size     7025MiB, 1000001 req, miss ratio 0.2430, byte miss ratio 0.2688
result/tencentBlock.ns3879.csv                              ARC cache size       70MiB, 1000001 req, miss ratio 0.6032, byte miss ratio 0.7496
result/tencentBlock.ns3879.csv                              ARC cache size     7025MiB, 1000001 req, miss ratio 0.2430, byte miss ratio 0.2688
result/tencentBlock.ns3879.csv                            LeCaR cache size       70MiB, 1000001 req, miss ratio 0.6244, byte miss ratio 0.7893
result/tencentBlock.ns3879.csv                            LeCaR cache size     7025MiB, 1000001 req, miss ratio 0.2430, byte miss ratio 0.2688
result/tencentBlock.ns3879.csv                  S3FIFO-0.1000-2 cache size       70MiB, 1000001 req, miss ratio 0.6004, byte miss ratio 0.7331
result/tencentBlock.ns3879.csv                  S3FIFO-0.1000-2 cache size     7025MiB, 1000001 req, miss ratio 0.2430, byte miss ratio 0.2688
