result/tencentBlock.ns15910.csv                    TLCacheQL-BMR cache size       35MiB, 1000001 req, miss ratio 0.7271, byte miss ratio 0.8902
result/tencentBlock.ns15910.csv                    TLCacheQL-BMR cache size     3545MiB, 1000001 req, miss ratio 0.2980, byte miss ratio 0.2768
result/tencentBlock.ns15910.csv                      TLCache-BMR cache size       35MiB, 1000001 req, miss ratio 0.7235, byte miss ratio 0.8774
result/tencentBlock.ns15910.csv                      TLCache-BMR cache size     3545MiB, 1000001 req, miss ratio 0.2981, byte miss ratio 0.2754
result/tencentBlock.ns15910.csv                              LHD cache size       35MiB, 1000001 req, miss ratio 0.6765, byte miss ratio 0.9157
result/tencentBlock.ns15910.csv                              LHD cache size     3545MiB, 1000001 req, miss ratio 0.2879, byte miss ratio 0.2947
result/tencentBlock.ns15910.csv                              LRU cache size       35MiB, 1000001 req, miss ratio 0.7669, byte miss ratio 0.9228
result/tencentBlock.ns15910.csv                              LRU cache size     3545MiB, 1000001 req, miss ratio 0.2965, byte miss ratio 0.2752
result/tencentBlock.ns15910.csv                            Sieve cache size       35MiB, 1000001 req, miss ratio 0.7257, byte miss ratio 0.9016
result/tencentBlock.ns15910.csv                            Sieve cache size     3545MiB, 1000001 req, miss ratio 0.2947, byte miss ratio 0.2749
result/tencentBlock.ns15910.csv                            LeCaR cache size       35MiB, 1000001 req, miss ratio 0.7432, byte miss ratio 0.9127
result/tencentBlock.ns15910.csv                            LeCaR cache size     3545MiB, 1000001 req, miss ratio 0.2966, byte miss ratio 0.2751
result/tencentBlock.ns15910.csv                              ARC cache size       35MiB, 1000001 req, miss ratio 0.7396, byte miss ratio 0.8755
result/tencentBlock.ns15910.csv                              ARC cache size     3545MiB, 1000001 req, miss ratio 0.2947, byte miss ratio 0.2747
result/tencentBlock.ns15910.csv                             GDSF cache size       35MiB, 1000001 req, miss ratio 0.6606, byte miss ratio 0.9132
result/tencentBlock.ns15910.csv                             GDSF cache size     3545MiB, 1000001 req, miss ratio 0.2800, byte miss ratio 0.2958
result/tencentBlock.ns15910.csv                      TLCache-BMR cache size       35MiB, 1000001 req, miss ratio 0.7235, byte miss ratio 0.8774
result/tencentBlock.ns15910.csv                      TLCache-BMR cache size     3545MiB, 1000001 req, miss ratio 0.2981, byte miss ratio 0.2754
result/tencentBlock.ns15910.csv                    TLCacheQL-BMR cache size       35MiB, 1000001 req, miss ratio 0.7271, byte miss ratio 0.8902
