box,0,9407.75,9.47892e+08,0.648682,5.06419,1.41498,0.687927,34431.2,0.49884,0.010498,1.04861,0.334129,0.100081,1.30855e+08,0.6698,0,9752.25,9.57276e+08,0.671997,5.81156,1.45364,0.706726,36003.1,0.526428,0.0134277,1.06238,0.347495,0.10929,1.35471e+08,0.68811,0.808696,0.00724638,0.00398804,0.00398804,0.00398804,3.98804
box,0,6184.75,1.74648e+07,0.60498,16.1643,1.5285,0.651855,35499.1,0.425842,0.00317383,0.964106,0.791678,0.652229,7.4965e+07,0.651306,0,6384.5,2.0021e+07,0.607544,18.3294,1.53408,0.654236,36440.7,0.433289,0.00512695,0.990285,0.799855,0.677343,7.70908e+07,0.653687,0.76704,0.00559512,0.00398804,0.00398804,0.00398804,3.98804
box,0,6180.25,1.76519e+07,0.599854,18.3426,1.54057,0.646484,29868.6,0.434326,0.00219727,0.922728,0.780582,0.670019,7.45144e+07,0.645996,0,6205,1.89567e+07,0.602539,18.8327,1.54683,0.649109,32426.7,0.44342,0.0055542,0.967009,0.797994,0.743638,7.50019e+07,0.648682,0.766557,0.00892438,0.00398804,0.00398804,0.00398804,3.98804
box,0,6193.5,1.75571e+07,0.604553,16.7744,1.50505,0.651428,33067.5,0.416199,0.00256348,0.953496,0.838773,0.716141,7.48831e+07,0.65033,0,6220.25,1.88087e+07,0.617676,18.4675,1.53509,0.664429,34987.3,0.444214,0.00305176,0.991242,0.867813,0.810427,7.62921e+07,0.663391,0.780473,0.00932836,0.00398804,0.00398804,0.00398804,3.98804
box,0,6219,1.77114e+07,0.6073,15.8364,1.49067,0.65448,27414.8,0.437256,0.00256348,0.948433,0.85617,0.765071,7.55835e+07,0.654114,0,6250.5,1.81893e+07,0.62384,18.1319,1.52793,0.670837,29349.9,0.44751,0.00317383,0.978834,0.868098,0.831333,7.72915e+07,0.670105,0.748562,0.005341,0.00398804,0.00398804,3.98804,0.00398804
box,0,6986.5,2.41812e+07,0.598145,16.7883,1.52155,0.644531,33732.7,0.425232,0.00183105,0.909191,0.749089,0.556085,8.28416e+07,0.643982,0,7138.25,2.49628e+07,0.611877,18.6653,1.55152,0.657227,35377.3,0.446411,0.00250244,1.00464,0.775336,0.723686,8.47585e+07,0.656738,0.750672,0.0107505,0.00398804,0.00398804,0.00398804,3.98804
box,0,6922,1.94816e+07,0.61261,15.4295,1.48486,0.658569,34007.6,0.460632,0.00195312,0.965123,0.666842,0.368124,8.30587e+07,0.658081,0,7074,2.40581e+07,0.629333,16.4665,1.51844,0.673462,36935.4,0.493103,0.00286865,1.0991,0.790812,0.67137,8.50289e+07,0.672974,0.640473,0.00625869,0.00398804,0.00398804,3.98804,0.00398804
box,0,7121.25,2.49072e+07,0.599182,17.2382,1.54188,0.646179,31942.3,0.452576,0.00274658,0.885569,0.805502,0.748783,8.40008e+07,0.644714,0,7167.5,2.52904e+07,0.60144,18.8186,1.54756,0.64856,32872.6,0.468506,0.00372314,0.938024,0.831283,0.837986,8.4394e+07,0.647339,0.738367,0.0138776,0.00398804,0.00398804,0.00398804,3.98804
box,0,6913.25,1.98858e+07,0.608887,14.3987,1.47338,0.655579,34184.7,0.43866,0.00305176,0.973729,0.741074,0.430216,8.37755e+07,0.65509,0,7085.75,2.51109e+07,0.63501,15.8954,1.52537,0.678711,36499.8,0.483704,0.00372314,1.14228,0.781514,0.644154,8.61676e+07,0.678162,0.643126,0.0108286,0.00398804,0.00398804,3.98804,0.00398804
box,0,7083,2.48486e+07,0.600647,15.89,1.52523,0.647278,33918.2,0.429932,0.0020752,0.954326,0.777127,0.644224,8.44595e+07,0.646729,0,7143.25,2.53908e+07,0.609009,18.3672,1.54493,0.65564,34987.6,0.441589,0.00311279,0.97527,0.794824,0.683248,8.52787e+07,0.65509,0.731541,0.0189322,0.00398804,0.00398804,3.98804,0.00398804
box,0,7091.25,2.27546e+07,0.612061,17.2005,1.50092,0.657471,34819.3,0.441772,0.00177002,0.954536,0.731879,0.556095,8.43121e+07,0.656677,0,7155,2.47294e+07,0.621887,18.0902,1.52098,0.66626,35466.8,0.47052,0.00262451,0.993045,0.779691,0.629681,8.49756e+07,0.665588,0.730051,0.0135823,0.00398804,0.00398804,0.00398804,3.98804
box,0,7008,2.02266e+07,0.604919,17.6359,1.50367,0.651917,32243.2,0.447327,0.00592041,0.915459,0.730271,0.582062,8.26532e+07,0.651306,0,7046.25,2.0952e+07,0.619507,18.4872,1.53394,0.665039,34715.5,0.470825,0.00683594,0.961752,0.756247,0.680295,8.34929e+07,0.664551,0.728388,0.0122699,0.00398804,0.00398804,0.00398804,3.98804
box,0,6880,1.97884e+07,0.60675,17.9263,1.52211,0.654114,34316.3,0.469116,0.0022583,0.875181,0.761767,0.688711,8.16087e+07,0.653625,0,7044.75,2.0922e+07,0.609985,18.5129,1.52879,0.656982,35925.4,0.487549,0.00280762,0.963172,0.799403,0.761204,8.31242e+07,0.656555,0.718439,0.0213471,0.00398804,0.00398804,0.00398804,3.98804
box,0,6062.5,1.34357e+07,0.601868,15.5633,1.52183,0.648865,32668.5,0.445435,0.00427246,0.939795,0.774819,0.641581,7.27941e+07,0.648254,0,6255.25,1.49505e+07,0.610779,18.2451,1.54115,0.657104,33606.7,0.459473,0.00946045,0.977601,0.786999,0.694321,7.52804e+07,0.656616,0.742881,0.0150754,0.00398804,0.00398804,0.00398804,3.98804
box,0,6182.25,1.71704e+07,0.613525,17.1919,1.50009,0.654297,33403.8,0.465759,0.00170898,0.928044,0.769228,0.59704,7.45103e+07,0.652283,0,6196.75,1.75691e+07,0.627686,18.1087,1.52836,0.666626,35795.9,0.48114,0.00402832,0.995551,0.804452,0.751274,7.54934e+07,0.665161,0.753724,0.0132406,0.00398804,0.00398804,0.00398804,3.98804
box,0,6085,1.29299e+07,0.60614,16.1478,1.45804,0.653198,33149.7,0.470459,0.00183105,0.915156,0.621516,0.32033,7.34495e+07,0.652771,0,6098.25,1.38544e+07,0.64325,18.2052,1.53093,0.685852,36065.8,0.51825,0.00250244,1.10714,0.784317,0.734355,7.59726e+07,0.685364,0.605158,0.0112604,0.00398804,0.00398804,3.98804,0.00398804
box,0,6092.75,1.35051e+07,0.604614,17.7519,1.5214,0.651855,32871.4,0.461243,0.00195312,0.910904,0.784287,0.683231,7.3343e+07,0.651428,0,6110.75,1.39683e+07,0.609985,18.2877,1.53408,0.657288,33595.8,0.470398,0.00244141,0.968352,0.800537,0.743346,7.39041e+07,0.656799,0.727686,0.0267197,0.00398804,0.00398804,3.98804,0.00398804
