0,12499,1.89853e+09,0.2934,5.2766,2.08899,0.4787,1303.59,0,0.1827,1.0001,0,0,7.30982e+07,0.4665,0.697662,1,1,1,1,1
0,6881.64,1.28216e+08,0.6679,6.46639,1.41403,0.7072,1277.51,0,0.029,1.0001,0,0,5.60471e+07,0.6794,0.71433,1,1,1,1,1
0,5728.97,8.09784e+07,0.3766,15.9297,2.35073,0.4254,1479.68,0,0.0282,1.0001,0,0,3.27747e+07,0.3965,0.435568,1,1,1,1,1
0,7437.67,1.66887e+08,0.2794,16.291,2.94724,0.3393,3620.34,0,0.0174,1.0001,0,0,4.642e+07,0.3059,0.247417,1,1,1,1,1
0,13403.2,1.79383e+09,0.2165,9.49856,2.52525,0.396,15780.4,0,0.2024,1.0001,0,0,7.58216e+07,0.3667,0.820763,1,1,1,1,1
0,6587.55,9.37283e+07,0.252,20.3328,3.1746,0.315,3344.51,0,0.0323,1.0001,0,0,3.66433e+07,0.2781,0.268739,1,1,1,1,1
0,3766.68,5.20158e+07,0.6566,5.04507,1.43451,0.6971,5631.29,0,0.0182,1.0001,0,0,2.67274e+07,0.676,0.582708,1,1,1,1,1
0,10449,2.8465e+08,0.5715,9.12025,1.6247,0.6155,55593.3,0,0.0187,1.0001,0,0,8.74291e+07,0.5908,0.554734,1,1,1,1,1
0,8517.02,2.06546e+08,0.4462,13.1639,2.06398,0.4845,32967.3,0,0.0087,1.0001,0,0,6.38075e+07,0.4529,0.34368,1,1,1,1,1
0,7583.69,1.29045e+08,0.2795,19.1894,2.99222,0.3342,8228.14,0,0.0079,1.0001,0,0,4.74921e+07,0.2991,0.314144,1,1,1,1,1
0,8117.35,2.18044e+08,0.6895,5.17949,1.36258,0.7339,19978.1,0,0.0124,1.0001,0,0,6.89766e+07,0.7076,0.490375,1,1,1,1,1
0,7008.87,1.37524e+08,0.2224,23.5152,3.61533,0.2766,9250.87,0,0.0045,1.0001,0,0,3.44868e+07,0.2356,0.252647,1,1,1,1,1
0,5673.73,7.93935e+07,0.2104,26.0354,3.93391,0.2542,7469.9,0,0.0054,1.0001,0,0,2.73638e+07,0.2162,0.233782,1,1,1,1,1
0,12660.6,4.53493e+08,0.5692,8.75549,1.65344,0.6048,37915.3,0,0.0031,1.0001,0,0,1.10295e+08,0.5846,0.525074,1,1,1,1,1
0,6413.47,8.26487e+07,0.3632,13.5089,2.32937,0.4293,23728.2,0,0.0122,1.0001,0,0,3.81348e+07,0.3953,0.443883,1,1,1,1,1
0,5952.31,8.36665e+07,0.1968,26.987,4.21585,0.2372,9128.06,0,0.0023,1.0001,0,0,2.7946e+07,0.2036,0.190329,1,1,1,1,1
0,6013.8,8.5903e+07,0.1959,30.8114,4.1425,0.2414,13271.6,0,0.0163,1.0001,0,0,2.77601e+07,0.2058,0.189845,1.08223,1.00763,1.01987,1.01011,1.00146
0,6321.77,1.01007e+08,0.1953,25.9375,4.07166,0.2456,17992.5,0,0.0103,1.0001,0,0,3.12704e+07,0.2111,0.201281,1.0706,1,1.0095,1.01269,1
